2025/04/03 00:31:18 ======= BẮT ĐẦU XỬ LÝ DỮ LIỆU TIỀN ĐIỆN TỬ =======
2025/04/03 00:31:18 Đã tải cấu hình từ file: ./configs/config-binance.json
2025/04/03 00:31:18 WebSocket URL: wss://stream.binance.com:9443/stream
2025/04/03 00:31:18 Số lượng token cần theo dõi: 3
2025/04/03 00:31:18 Token #1: BTCUSDT (Giao dịch lớn: 0.100000, Giao dịch rất lớn: 0.100000)
2025/04/03 00:31:18 Token #2: ETHUSDT (Giao dịch lớn: 0.005000, Giao dịch rất lớn: 0.500000)
2025/04/03 00:31:18 Token #3: SOLUSDT (Giao dịch lớn: 0.001000, Giao dịch rất lớn: 0.100000)
2025/04/03 00:31:18 Bắt đầu theo dõi kline cho BTCUSDT tại wss://stream.binance.com:9443/ws/btcusdt@kline_1m
2025/04/03 00:31:18 Bắt đầu theo dõi giao dịch cho BTCUSDT tại wss://stream.binance.com:9443/ws/btcusdt@trade
2025/04/03 00:31:18 Bắt đầu theo dõi kline cho ETHUSDT tại wss://stream.binance.com:9443/ws/ethusdt@kline_1m
2025/04/03 00:31:18 Bắt đầu theo dõi kline cho SOLUSDT tại wss://stream.binance.com:9443/ws/solusdt@kline_1m
2025/04/03 00:31:18 Bắt đầu theo dõi giao dịch cho ETHUSDT tại wss://stream.binance.com:9443/ws/ethusdt@trade
2025/04/03 00:31:18 Bắt đầu theo dõi giao dịch cho SOLUSDT tại wss://stream.binance.com:9443/ws/solusdt@trade
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket kline cho ETHUSDT
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket cho BTCUSDT
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket cho ETHUSDT
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket kline cho SOLUSDT
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket cho SOLUSDT
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket kline cho BTCUSDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] ETH | BÁN | Số lượng: 0.81970000 | Giá: 1894.34 USDT | Tổng: 1552.79 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] ETH | BÁN | Số lượng: 0.64830000 | Giá: 1894.34 USDT | Tổng: 1228.10 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.06070000 | Giá: 1894.34 USDT | Tổng: 114.99 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.00660000 | Giá: 1894.33 USDT | Tổng: 12.50 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.02920000 | Giá: 1894.32 USDT | Tổng: 55.31 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.00550000 | Giá: 1894.28 USDT | Tổng: 10.42 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.09680000 | Giá: 1894.26 USDT | Tổng: 183.36 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.07920000 | Giá: 1894.25 USDT | Tổng: 150.02 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.03100000 | Giá: 1894.23 USDT | Tổng: 58.72 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.00960000 | Giá: 1894.23 USDT | Tổng: 18.18 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.01450000 | Giá: 1894.22 USDT | Tổng: 27.47 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.10130000 | Giá: 1894.21 USDT | Tổng: 191.88 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.01310000 | Giá: 1894.18 USDT | Tổng: 24.81 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.01200000 | Giá: 1894.17 USDT | Tổng: 22.73 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.02870000 | Giá: 1894.16 USDT | Tổng: 54.36 USDT
