[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.83880000 | Giá: 1894.11 USDT | Tổng: 1588.78 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.08520000 | Giá: 1894.12 USDT | Tổng: 161.38 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.32970000 | Giá: 1894.11 USDT | Tổng: 624.49 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.03000000 | Giá: 1894.11 USDT | Tổng: 56.82 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00520000 | Giá: 1894.12 USDT | Tổng: 9.85 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.23240000 | Giá: 1894.11 USDT | Tổng: 440.19 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 6.75000000 | Giá: 1894.11 USDT | Tổng: 12785.24 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00300000 | Giá: 1894.11 USDT | Tổng: 5.68 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00300000 | Giá: 1894.11 USDT | Tổng: 5.68 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.06240000 | Giá: 1894.11 USDT | Tổng: 118.19 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.08760000 | Giá: 1894.11 USDT | Tổng: 165.92 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.38240000 | Giá: 1894.11 USDT | Tổng: 724.31 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00300000 | Giá: 1894.11 USDT | Tổng: 5.68 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00300000 | Giá: 1894.11 USDT | Tổng: 5.68 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 6.75000000 | Giá: 1894.11 USDT | Tổng: 12785.24 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.32440000 | Giá: 1894.11 USDT | Tổng: 614.45 USDT
